"station","borough","equipmenttype","serving","ADA","line"
"Church Av","BKN","EL","STREET TO UPTOWN PLATFORM","Y","2"
"Clark St","BKN","EL","LOWER MEZZANINE TO STREET","N","2"
"Clark St","BKN","EL","LOWER MEZZANINE TO STREET","N","2"
"Clark St","BKN","EL","LOWER MEZZANINE TO STREET","N","2"
"Columbus Circle","MN","ES","STREET TO MEZZANINE ALL TRAINS","N","1"
"Columbus Circle","MN","ES","STREET TO MEZZANINE ALL TRAINS","N","1"
"Coney Island Stillwell Av","BKN","EL","3 LANDINGS","Y","D"
"Coney Island Stillwell Av","BKN","EL","OVERPASS TO D PLATFORM","Y","D"
"Coney Island Stillwell Av","BKN","EL","OVERPASS TO N PLATFORM","Y","D"
"Corona Yard Signal Tower","QNS","EL","UNASSIGNED","Y","7"
"Cortlandt St","MN","ES","STREET TO MEZZANINE","N","1"
"Court Square","QNS","EL","LEVEL 2 TO MEZZANINE","Y","G"
"Court Square","QNS","EL","STREET TO MEZZANINE","Y","G"
"Court Square","QNS","ES","STREET TO MEZZANINE","N","G"
"Court Square","QNS","ES","STREET TO MEZZANINE","N","G"
"Court Square","QNS","EL","STREET TO MEZZANINE","Y","G"
"Court Square","QNS","ES","STREET TO MEZZANINE PASSAGEWAY TO E/G/M TRAINS","N","G"
"Court Square","QNS","ES","STREET TO MEZZANINE PASSAGEWAY TO E/G/M TRAINS","N","G"
"Court Square - 23 St","QNS","PW","PASSAGEWAY TRANSFER","N","E"
"Court Square - 23 St","QNS","PW","PASSAGEWAY TRANSFER","N","E"
"Court St","BKN","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","R"
"Court St","BKN","EL","LOWER MEZZANINE TO UPPER MEZZANINE","N","R"
"Court St","BKN","EL","LOWER MEZZANINE TO UPPER MEZZANINE","N","R"
"Court St","BKN","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","R"
"Crown Hts - Utica Av","BKN","EL","MEZZANINE TO PLATFORMS","Y","3"
"Crown Hts - Utica Av","BKN","EL","STREET TO MEZZANINE","Y","3"
"Dekalb Av","BKN","EL","MEZZANINE TO DOWNTOWN","Y","B"
"Dekalb Av","BKN","EL","MEZZANINE TO UPTOWN","Y","B"
"Dekalb Av","BKN","ES","NORTHBOUND PLATFORM TO MEZZANINE","N","B"
"Dekalb Av","BKN","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N","B"
"Dekalb Av","BKN","EL","STREET TO MEZZANINE","Y","B"
"Delancey St Essex St","MN","ES","MEZZANINE TO STREET","N","F"
"Delancey St Essex St","MN","ES","NORTHBOUND PLATFORM TO STREET","N","F"
"Dyckman St","MN","EL","STREET TO DOWNTOWN PLATFORM","Y","1"
"Dyckman St Quarters","MN","EL","UNASSIGNED","N","1"
"East 180 St","BX","EL","STREET TO DOWNTOWN PLATFORM","Y","2"
"East 180 St","BX","EL","STREET TO UPTOWN PLATFORM","Y","2"
"East Broadway","MN","ES","CENTER ISLAND PLATFORM TO MEZZANINE","N","F"
"Euclid Av","BKN","EL","MEZZANINE TO DOWNTOWN","Y","A"
"Euclid Av","BKN","EL","MEZZANINE TO UPTOWN","Y","A"
"Euclid Av","BKN","EL","STREET TO MEZZANINE","Y","A"
"Far Rockaway - Mott Av","QNS","EL","STREET TO PLATFORM","Y","A"
