"text","station","borough","trainno","equipmentno","equipmenttype","serving","ADA"
NA,"50 St","MN","C/E","ES264X","ES","MEZZANINE TO E TRAIN PLATFORM","N"
NA,"50 St","MN","C/E","EL208X","EL","PLAZA TO DOWNTOWN PLATFORMS","Y"
NA,"50 St","MN","C/E","EL207X","EL","STREET TO MEZZANINE","Y"
NA,"50 St","MN","C/E","ES263X","ES","STREET TO MEZZANINE","N"
NA,"51 St","MN","6","ES252","ES","MEZZANINE TO PLATFORM","N"
NA,"57 St - 7 Av","MN","N/Q/R/W","EL281","EL","MEZZANINE TO STREET","N"
NA,"59 St","MN","4/5/6","ES213","ES","NORTHBOUND EXPRESS PLATFORM TO NORTHBOUND LOCAL PLATFORM","N"
NA,"59 St","MN","4/5/6","ES211","ES","NORTHBOUND EXPRESS PLATFORM TO NORTHBOUND LOCAL PLATFORM","N"
NA,"59 St","MN","4/5/6","ES214","ES","SOUTHBOUND EXPRESS PLATFORM TO SOUTHBOUND LOCAL PLATFORM","N"
NA,"59 St","MN","4/5/6","ES212","ES","SOUTHBOUND EXPRESS PLATFORM TO SOUTHBOUND LOCAL PLATFORM","N"
NA,"59 St - Columbus Cir","MN","1/A/B/C/D","EL277","EL","MEZZANINE AND DOWNTOWN","Y"
NA,"59 St - Columbus Cir","MN","A/B/C/D","EL279","EL","MEZZANINE AND UPTOWN","Y"
NA,"59 St - Columbus Cir","MN","1/A/B/C/D","EL278","EL","MEZZANINE AND UPTOWN","Y"
NA,"59 St - Columbus Cir","MN","1/A/B/C/D","EL276X","EL","STREET TO MEZZANINE ALL TRAINS","Y"
NA,"59 St - Columbus Cir","MN","1/A/B/C/D","EL280","EL","STREET TO MEZZANINE AND UPTOWN 1 PLATFORM","Y"
NA,"599 Lexington Av","MN","E/M","ES253X","ES","MEZZANINE TO UNDERPASS 6 TRAIN DOWNTOWN","N"
NA,"61 St - Woodside","QNS","7","EL416X","EL","MEZZANINE TO DOWNTOWN","Y"
NA,"61 St - Woodside","QNS","7","EL418X","EL","MEZZANINE TO LIRR PLATFORM B","N"
NA,"61 St - Woodside","QNS","7","EL419X","EL","MEZZANINE TO LIRR PLATFORM C","N"
NA,"61 St - Woodside","QNS","7","EL417X","EL","MEZZANINE TO UPTOWN","Y"
NA,"61 St - Woodside","QNS","7","EL415X","EL","STREET TO LIRR PLATFORM A & MEZZANINE","Y"
NA,"61 St - Woodside","QNS","7","ES448","ES","STREET TO MEZZANINE","N"
NA,"66 St - Lincoln Center","MN","1","EL237","EL","STREET TO MEZZANINE & UPTOWN PLATFORM","Y"
NA,"66 St - Lincoln Center","MN","1","EL238","EL","STREET TO MEZZANINE AND DOWNTOWN PLATFORM","Y"
NA,"7 Av","MN","B/D/E","ES237","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N"
NA,"7 Av","MN","B/D/E","ES238","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N"
NA,"72 St","MN","1/2/3","EL240","EL","STREET TO DOWNTOWN PLATFORM","Y"
NA,"72 St","MN","1/2/3","EL239","EL","STREET TO UPTOWN PLATFORM","Y"
NA,"72 St / 2 Av","MN","Q","ES291","ES","BASEMENT ENTRANCE TO STREET","N"
NA,"72 St / 2 Av","MN","Q","EL262","EL","LOWER MEZZANINE TO STREET","Y"
NA,"72 St / 2 Av","MN","Q","EL265","EL","LOWER MEZZANINE TO STREET","Y"
NA,"72 St / 2 Av","MN","Q","EL264","EL","LOWER MEZZANINE TO STREET","Y"
NA,"72 St / 2 Av","MN","Q","EL266","EL","LOWER MEZZANINE TO STREET","Y"
NA,"72 St / 2 Av","MN","Q","EL267","EL","LOWER MEZZANINE TO STREET","Y"
NA,"72 St / 2 Av","MN","Q","EL269","EL","LOWER MEZZANINE-FIRST UPPER MEZZANINE-SECOND UPPER MEZZANINE","Y"
NA,"72 St / 2 Av","MN","Q","ES288","ES","MEZZANINE TO BASEMENT ENTRANCE","N"
NA,"72 St / 2 Av","MN","Q","ES290","ES","MEZZANINE TO BASEMENT ENTRANCE","N"
NA,"72 St / 2 Av","MN","Q","ES289","ES","MEZZANINE TO BASEMENT ENTRANCE","N"
NA,"72 St / 2 Av","MN","Q","ES294","ES","MEZZANINE TO STREET","N"
NA,"72 St / 2 Av","MN","Q","ES295","ES","MEZZANINE TO STREET","N"
NA,"72 St / 2 Av","MN","Q","ES296","ES","MEZZANINE TO STREET","N"
NA,"72 St / 2 Av","MN","Q","EL259","EL","PLATFORM TO LOWER MEZZANINE","Y"
NA,"72 St / 2 Av","MN","Q","ES287","ES","PLATFORM TO MEZZANINE","N"
NA,"72 St / 2 Av","MN","Q","ES286","ES","PLATFORM TO MEZZANINE","N"
NA,"72 St / 2 Av","MN","Q","ES285","ES","PLATFORM TO MEZZANINE","N"
NA,"8 Av","MN","L","EL224","EL","MEZZANINE TO PLATFORM","Y"
NA,"86 St / 2 Av","MN","Q","ES281","ES","MEZZANINE TO MID LANDING ENTRANCE #1","N"
NA,"86 St / 2 Av","MN","Q","ES280","ES","MEZZANINE TO MID LANDING ENTRANCE #1","N"
NA,"86 St / 2 Av","MN","Q","ES279","ES","MEZZANINE TO MID LANDING ENTRANCE #1","N"
NA,"86 St / 2 Av","MN","Q","EL250","EL","MEZZANINE TO STREET","Y"
NA,"86 St / 2 Av","MN","Q","ES276","ES","MEZZANINE TO STREET ENTRANCE #1","N"
NA,"86 St / 2 Av","MN","Q","ES278","ES","MEZZANINE TO STREET ENTRANCE #1","N"
NA,"86 St / 2 Av","MN","Q","ES277","ES","MEZZANINE TO STREET ENTRANCE #1","N"
NA,"86 St / 2 Av","MN","Q","ES284","ES","MID LANDING ENTRANCE #2 TO STREET ENTRANCE #2 EAST","N"
NA,"86 St / 2 Av","MN","Q","ES297","ES","MID LANDING ENTRANCE #2 TO STREET ENTRANCE #2 EAST","N"
