"station","borough","trainno","equipmentno","equipmenttype","serving","ADA"
"66 St - Lincoln Center","MN","1","EL238","EL","STREET TO MEZZANINE AND DOWNTOWN PLATFORM","Y"
"7 Av","MN","B/D/E","ES237","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N"
"7 Av","MN","B/D/E","ES238","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N"
"72 St","MN","1/2/3","EL240","EL","STREET TO DOWNTOWN PLATFORM","Y"
"72 St","MN","1/2/3","EL239","EL","STREET TO UPTOWN PLATFORM","Y"
"72 St","MN","Q","ES291","ES","BASEMENT ENTRANCE TO STREET","N"
"72 St","MN","Q","EL262","EL","LOWER MEZZANINE TO STREET","Y"
"72 St","MN","Q","EL265","EL","LOWER MEZZANINE TO STREET","Y"
"72 St","MN","Q","EL264","EL","LOWER MEZZANINE TO STREET","Y"
"72 St","MN","Q","EL266","EL","LOWER MEZZANINE TO STREET","Y"
"72 St","MN","Q","EL267","EL","LOWER MEZZANINE TO STREET","Y"
"72 St","MN","Q","EL269","EL","LOWER MEZZANINE-FIRST UPPER MEZZANINE-SECOND UPPER MEZZANINE","Y"
"72 St","MN","Q","ES288","ES","MEZZANINE TO BASEMENT ENTRANCE","N"
"72 St","MN","Q","ES290","ES","MEZZANINE TO BASEMENT ENTRANCE","N"
"72 St","MN","Q","ES289","ES","MEZZANINE TO BASEMENT ENTRANCE","N"
"72 St","MN","Q","ES294","ES","MEZZANINE TO STREET","N"
"72 St","MN","Q","ES295","ES","MEZZANINE TO STREET","N"
"72 St","MN","Q","ES296","ES","MEZZANINE TO STREET","N"
"72 St","MN","Q","EL259","EL","PLATFORM TO LOWER MEZZANINE","Y"
"72 St","MN","Q","ES287","ES","PLATFORM TO MEZZANINE","N"
"72 St","MN","Q","ES286","ES","PLATFORM TO MEZZANINE","N"
"72 St","MN","Q","ES285","ES","PLATFORM TO MEZZANINE","N"
"8 Av","MN","L","EL224","EL","MEZZANINE TO PLATFORM","Y"
"86 St","MN","Q","ES281","ES","MEZZANINE TO MID LANDING ENTRANCE #1","N"
"86 St","MN","Q","ES280","ES","MEZZANINE TO MID LANDING ENTRANCE #1","N"
"86 St","MN","Q","ES279","ES","MEZZANINE TO MID LANDING ENTRANCE #1","N"
"86 St","MN","Q","EL250","EL","MEZZANINE TO STREET","Y"
"86 St","MN","Q","ES276","ES","MEZZANINE TO STREET ENTRANCE #1","N"
"86 St","MN","Q","ES278","ES","MEZZANINE TO STREET ENTRANCE #1","N"
"86 St","MN","Q","ES277","ES","MEZZANINE TO STREET ENTRANCE #1","N"
"86 St","MN","Q","ES284","ES","MID LANDING ENTRANCE #2 TO STREET ENTRANCE #2 EAST","N"
"86 St","MN","Q","ES297","ES","MID LANDING ENTRANCE #2 TO STREET ENTRANCE #2 EAST","N"
"86 St","MN","Q","ES283","ES","MID LANDING ENTRANCE #2 TO STREET ENTRANCE #2 WEST","N"
"86 St","MN","Q","ES282","ES","MID LANDING ENTRANCE #2 TO STREET ENTRANCE #2 WEST","N"
"86 St","MN","Q","ES273","ES","PLATFORM TO MEZZANINE","N"
"86 St","MN","Q","ES275","ES","PLATFORM TO MEZZANINE","N"
"86 St","MN","Q","ES274","ES","PLATFORM TO MEZZANINE","N"
"86 St","MN","Q","EL249","EL","PLATFORM TO MEZZANINE","Y"
"96 St","MN","1/2/3","EL145","EL","STREET TO DOWNTOWN PLATFORM","Y"
"96 St","MN","1/2/3","EL146","EL","STREET TO UPTOWN PLATFORM","Y"
"96 St","MN","Q","EL248","EL","MEZZANINE TO STREET","Y"
"96 St","MN","Q","ES260","ES","MEZZANINE TO STREET LEVEL N-W","N"
"96 St","MN","Q","ES259","ES","MEZZANINE TO STREET LEVEL N-W","N"
"96 St","MN","Q","ES271","ES","MEZZANINE TO STREET LEVEL S-E","N"
"96 St","MN","Q","ES270","ES","MEZZANINE TO STREET LEVEL S-E","N"
"96 St","MN","Q","ES272","ES","MEZZANINE TO STREET LEVEL S-E","N"
"96 St","MN","Q","ES247","ES","MEZZANINE TO STREET LEVEL S-W","N"
"96 St","MN","Q","ES220","ES","PLATFORM TO MEZZANINE","N"
"96 St","MN","Q","ES202","ES","PLATFORM TO MEZZANINE","N"
"96 St","MN","Q","EL247","EL","PLATFORM TO MEZZANINE","Y"
"96 St","MN","Q","ES200","ES","PLATFORM TO MEZZANINE","N"
"Atlantic Av - Barclays Ctr","BKN","2/3/4/5/B/Q/LIRR","ES358X","ES","LOWER MEZZANINE TO STREET","N"
