,tweet_id,date_time,text,date,station,equipment,area,outage
3086,8.41914e+17,3/15/17 7:28,FIXED: An elevator @ Myrtle - Wyckoff Ave servicing Transfer Passageway Mezzanine To Platform is in service,2017-03-15,,elevator,mezzanine to platform,False
3087,8.41904e+17,3/15/17 6:48,FIXED: An elevator @ Myrtle - Wyckoff Ave servicing Mezzanine To Platform is in service,2017-03-15,,elevator,mezzanine to platform,False
3088,8.41899e+17,3/15/17 6:28,OUTAGE: An escalator servicing Street To Center Island Platform @ Parkchester is out of service.,2017-03-15,Parkchester,escalator,,True
3089,8.41896e+17,3/15/17 6:18,FIXED: An elevator @ Crown Hts - Utica Ave (Corner of Utica Avenue and Eastern Parkway) servicing Street To Mezzanine is in service,2017-03-15,Crown Hts - Utica Av,elevator,street to mezzanine,False
3090,8.41896e+17,3/15/17 6:18,OUTAGE: An escalator servicing Mezzanine To Street @  is out of service.,2017-03-15,,escalator,,True
3091,8.41891e+17,3/15/17 5:58,OUTAGE: An elevator servicing Mezzanine To Upper Southbound Platform To Lower Northbound Platform @  is out of service.,2017-03-15,,elevator,,True
3092,8.41889e+17,3/15/17 5:48,FIXED: An elevator @ Kew Gardens - Union Tpke (SE corner of Union Turnpike and Kew Gardens Road) is back in service.,2017-03-15,,elevator,,False
3093,8.41889e+17,3/15/17 5:48,OUTAGE: An elevator servicing Mezzanine To Uptown @ Flushing Ave is out of service.,2017-03-15,Flushing Av,elevator,mezzanine to uptown,True
3094,8.41886e+17,3/15/17 5:38,OUTAGE: An elevator servicing Street To Mezzanine And Downtown Platform @ 125th St is out of service.,2017-03-15,,elevator,street to mezzanine,True
3095,8.41884e+17,3/15/17 5:28,OUTAGE: An escalator servicing Mezzanine To Street @ Lexington Ave - 63rd St is out of service.,2017-03-15,,escalator,,True
3096,8.41881e+17,3/15/17 5:18,FIXED: An escalator @ Whitehall St South Ferry servicing Lower Mezzanine To Upper Mezzanine is in service,2017-03-15,South Ferry,escalator,,False
3097,8.41881e+17,3/15/17 5:18,OUTAGE: An elevator servicing Mezzanine To Platforms @  is out of service.,2017-03-15,,elevator,mezzanine to platform,True
3098,8.41879e+17,3/15/17 5:08,OUTAGE: An escalator servicing Street To Mezzanine @ Flushing - Main St is out of service.,2017-03-15,,escalator,street to mezzanine,True
3099,8.41879e+17,3/15/17 5:08,OUTAGE: An elevator servicing Street To Mezzanine @ Euclid Ave (NE corner of Euclid Avenue and Pitkin Avenue) is out of service.,2017-03-15,Euclid Av,elevator,street to mezzanine,True
3100,8.41876e+17,3/15/17 4:58,FIXED: An elevator @ 231st St (SW corner of 231 Street and Broadway) servicing Street To Mezzanine is in service,2017-03-15,231 St,elevator,street to mezzanine,False
3101,8.41876e+17,3/15/17 4:58,OUTAGE: An escalator servicing Mezzanine To Street Level S W @  is out of service.,2017-03-15,,escalator,,True
3102,8.41874e+17,3/15/17 4:48,FIXED: An elevator @ 190th St servicing Lower Mezzanine To Street is in service,2017-03-15,,elevator,,False
3103,8.41874e+17,3/15/17 4:48,FIXED: An escalator @ Gun Hill Rd servicing Street To Mezzanine is in service,2017-03-15,Gun Hill Rd,escalator,street to mezzanine,False
3104,8.41874e+17,3/15/17 4:48,FIXED: An escalator @ Lexington Ave - 63rd St servicing Level 3 To Level 2 is in service,2017-03-15,,escalator,,False
3105,8.41874e+17,3/15/17 4:48,FIXED: An escalator @ Jamaica Ctr - Parsons / Archer servicing Platform To Mezzanine is in service,2017-03-15,,escalator,,False
3106,8.41874e+17,3/15/17 4:48,OUTAGE: An elevator servicing Transfer Passageway Mezzanine To Platform @ Myrtle - Wyckoff Ave is out of service.,2017-03-15,,elevator,mezzanine to platform,True
3107,8.41871e+17,3/15/17 4:38,OUTAGE: An elevator servicing Mezzanine To Platform @ Myrtle - Wyckoff Ave is out of service.,2017-03-15,,elevator,mezzanine to platform,True
3108,8.41871e+17,3/15/17 4:38,OUTAGE: An escalator servicing Platform To Mezzanine @ Jamaica Ctr - Parsons / Archer is out of service.,2017-03-15,,escalator,,True
3109,8.41871e+17,3/15/17 4:38,OUTAGE: An elevator servicing Mezzanine To L Platform @ 14th St - 8 Av is out of service.,2017-03-15,8 Av,elevator,,True
3110,8.41869e+17,3/15/17 4:28,OUTAGE: An elevator servicing Street To Downtown Platform @ Canal St (NW corner of Canal Street and Lafayette Street) is out of service.,2017-03-15,Canal St,elevator,,True
3111,8.41866e+17,3/15/17 4:18,OUTAGE: An escalator servicing Lower Mezzanine To Upper Mezzanine @ Whitehall St South Ferry is out of service.,2017-03-15,South Ferry,escalator,,True
