nyca_id,name,location,serving
414,Fulton St,,Transit Center
414,Fulton St,,Center Island Lower Platform To Mezzanine
414,Fulton St,,4/5 & R/W Underpass
414,Fulton St,,Upper Mezzanine To Street
414,Fulton St,,Transit Center
414,Fulton St,,Transit Center
414,Fulton St,,Lower Mezzanine To Upper Mezzanine
414,Fulton St,,Transit Center
414,Fulton St,,Transit Center
414,Fulton St,,Corbin Building
414,Fulton St,,Lower Mezzanine To Southbound Platform
414,Fulton St,,Transit Center
414,Fulton St,,Lower Mezzanine To Upper Mezzanine
414,Fulton St,,Transit Center
420,Bowling Green,NE corner of Broadway and Battery Place,Street To Mezzanine & Uptown Platform
420,Bowling Green,,Mezzanine To Downtown
420,Bowling Green,,Lower Mezzanine To Southbound Platform
420,Bowling Green,,Lower Mezzanine To Upper Mezzanine
420,Bowling Green,,Lower Mezzanine To Upper Mezzanine
420,Bowling Green,,Lower Mezzanine To Southbound Platform
420,Bowling Green,,Lower Mezzanine To Upper Mezzanine
420,Bowling Green,,Lower Mezzanine To Upper Mezzanine
420,Bowling Green,,Upper Mezzanine To Street
420,Bowling Green,,Lower Mezzanine To Northbound Platform
420,Bowling Green,,Lower Mezzanine To Northbound Platform
430,Cortlandt St,,33 Maiden Lane To Passageway
430,Cortlandt St,,Passageway Transfer
430,Cortlandt St,,Cortlandt St R Line
430,Cortlandt St,,Corbin Building
430,Cortlandt St,,Transit Center
430,Cortlandt St,,Transit Center
430,Cortlandt St,,Lower Mezzanine To Platform
430,Cortlandt St,,Transit Center
430,Cortlandt St,,4/5 & R/W Underpass
430,Cortlandt St,,Cortlandt St R Line
430,Cortlandt St,,Corbin Building
430,Cortlandt St,,Transit Center
430,Cortlandt St,,3 Landings
430,Cortlandt St,,Platform To Mezzanine
430,Cortlandt St,,Upper Mezzanine To Street
430,Cortlandt St,,Platform To Lower Mezzanine
430,Cortlandt St,,Transit Center
430,Cortlandt St,,Center Island Lower Platform To Mezzanine
430,Cortlandt St,,4/5 & R/W Underpass
430,Cortlandt St,,Upper Mezzanine To Street
430,Cortlandt St,,Transit Center
430,Cortlandt St,,Transit Center
430,Cortlandt St,,Lower Mezzanine To Upper Mezzanine
430,Cortlandt St,,Transit Center
430,Cortlandt St,,Transit Center
430,Cortlandt St,,Corbin Building
430,Cortlandt St,,Lower Mezzanine To Southbound Platform
430,Cortlandt St,,Transit Center
